Year ,Month ,RATED KW,VOLTS ,RATED AMP,TESTING AMP,TEMPERATURE,HUMIDITY ,Fault 
2016,May,1.1,206,2.7,1.1,10.31,5.28,Bearing Damage
2016,May,0.55,320,1.6,1.4,3.62,1.86,Phase Missing
2016,May,0.4,265,3,1.2,12.73,6.52,Bearing Damage
2016,May,,373,,,0.00,0.00,Over load
2016,May,0.12,243,0.8,0.3,0.91,0.46,Bush Jam
2016,May,0.12,238,0.8,0.3,0.91,0.46,Bush Jam
2016,May,1.1,214,2.13,1.5,6.42,3.29,Over load
2016,May,,228,,,0.00,0.00,Over load
2016,May,1.1,227,2.69,1.2,10.23,5.24,Water Penetre
2016,May,55,275,10.32,24,150.62,77.18,Insulation Weak
2016,May,0.4,361,1,0.6,1.41,0.72,Phase Missing
2016,June,0.4,204,3,1,12.73,6.52,Over load
2016,June,1.75,203,3.6,1.9,18.33,9.39,Water Penetrate 
2016,June,0.55,367,1.52,0.9,3.27,1.67,Water Penetrate 
2016,June,0.03,255,0.13,0.1,0.02,0.01,Insulation Weak
2016,June,0.06,217,0.27,0.09,0.10,0.05,Bearing Damage
2016,June,0.12,245,0.54,0.48,0.41,0.21,Bush Jam
2016,June,0.12,368,0.56,0.35,0.44,0.23,Insulation Weak
2016,June,,247,,3.3,0.00,0.00,Over load
2016,June,1.75,218,3.6,1.9,18.33,9.39,Water Penetrate 
2016,June,0.06,275,0.27,0.11,0.10,0.05,Insulation Weak
2016,June,0.06,343,0.27,0.11,0.10,0.05,Water Penetrate 
2016,June,0.06,239,0.27,0.11,0.10,0.05,Insulation Weak
2016,June,0.75,339,4,2,22.63,11.60,Over load
2016,June,0.03,294,0.13,0.11,0.02,0.01,Insulation Weak
2016,July,0.75,325,5,3.5,35.36,18.12,Over load
2016,July,0.15,269,0.68,0.4,0.65,0.34,Over load
2016,July,0.55,365,1.6,0.9,3.62,1.86,Phase Missing
2016,July,0.55,306,1.6,0.9,3.62,1.86,Phase Missing
2016,July,1.13,274,5.1,2.04,36.78,18.85,Water Penetrate 
2016,July,0.06,273,0.27,0.11,0.10,0.05,Insulation Weak
2016,July,0.25,349,2,1,5.66,2.90,Over load
2016,July,0.037,335,0.56,0.3,0.44,0.23,Insulation Weak
2016,July,0.08,360,0.36,0.21,0.18,0.09,Water Penetrate 
2016,July,0.75,351,2.1,1.7,6.24,3.20,Over load
2016,July,0.15,331,0.68,0.4,0.65,0.34,Insulation Weak
2016,July,0.15,329,0.68,0.4,0.65,0.34,Over load
2016,July,3,396,6.2,3.5,54.36,27.86,Water Penetrate 
2016,July,0.15,223,0.68,0.4,0.65,0.34,Over load
2016,July,0.06,381,0.27,0.11,0.10,0.05,Insulation Weak
